Id, Situacao, qntElementos, Média, espaçoVazio
190,alocado,11,427574,4703318
184,liberado,11,426598,4692579
191,alocado,12,393838,4726056
192,alocado,12,391657,4699887
111,liberado,12,387718,4652623
178,liberado,12,389378,4672547
193,alocado,13,360467,4686071
194,alocado,13,359229,4669986
195,alocado,13,355574,4622465
196,alocado,13,350990,4562873
48,liberado,13,348395,4529136
197,alocado,14,325097,4551369
103,liberado,14,323402,4527637
55,liberado,15,302838,4542570
198,alocado,15,305470,4582062
199,alocado,15,304751,4571265
72,liberado,15,301857,4527860
200,alocado,16,284683,4554930
32,liberado,16,281924,4510793
201,alocado,17,265978,4521629
197,liberado,17,265674,4516469
202,alocado,18,252233,4540201
203,alocado,18,250256,4504615
204,alocado,18,247952,4463151
43,liberado,18,247584,4456522
205,alocado,19,236208,4487959
206,alocado,19,233156,4429966
207,alocado,19,231649,4401332
208,alocado,19,231506,4398622
209,alocado,19,230186,4373540
135,liberado,19,229684,4364009
179,liberado,19,232491,4417341
83,liberado,18,246328,4433920
210,alocado,19,233635,4439080
211,alocado,19,233595,4438320
212,alocado,19,232922,4425527
213,alocado,19,231224,4393270
89,liberado,19,228626,4343894
214,alocado,20,219225,4384511
215,alocado,20,217554,4351088
216,alocado,20,216540,4330818
217,alocado,20,214801,4296039
218,alocado,20,213935,4278711
56,liberado,20,211455,4229111
185,liberado,20,213601,4272025
219,alocado,20,215660,4313216
220,alocado,20,214684,4293696
221,alocado,20,211638,4232779
218,liberado,20,210295,4205903
222,alocado,21,202643,4255503
223,alocado,21,199834,4196516
224,alocado,21,198885,4176593
225,alocado,21,196713,4130992
226,alocado,21,194420,4082821
227,alocado,21,191723,4026199
117,liberado,21,189729,3984316
228,alocado,21,191982,4031637
31,liberado,21,189598,3981574
229,alocado,22,181553,3994172
230,alocado,22,181007,3982169
231,alocado,22,179624,3951748
17,liberado,22,178424,3925334
232,alocado,23,172918,3977129
233,alocado,23,171028,3933665
62,liberado,23,169398,3896165
234,alocado,24,163267,3918427
235,alocado,24,163194,3916661
236,alocado,24,161994,3887874
237,alocado,24,159387,3825296
46,liberado,24,158639,3807342
66,liberado,25,152567,3814196
238,alocado,26,147497,3834928
8,liberado,26,146597,3811544
239,alocado,27,142284,3841674
163,liberado,27,141009,3807265
109,liberado,28,136829,3831235
240,alocado,29,132730,3849173
241,alocado,29,131320,3808301
242,alocado,29,130734,3791312
243,alocado,29,129274,3748963
244,alocado,29,127657,3702074
245,alocado,29,127178,3688183
136,liberado,29,126472,3667694
209,liberado,30,122821,3684651
246,alocado,29,127385,3694182
247,alocado,29,126311,3663020
248,alocado,29,124636,3614457
249,alocado,29,123633,3585364
250,alocado,29,123387,3578244
225,liberado,29,123354,3577287
113,liberado,29,125015,3625458
251,alocado,30,122801,3684041
252,alocado,30,120679,3620391
20,liberado,30,119127,3573823
253,alocado,31,115354,3575979
254,alocado,31,115175,3570429
167,liberado,31,114442,3547708
255,alocado,31,116142,3600426
256,alocado,31,115850,3591373
257,alocado,31,114134,3538157
258,alocado,31,113008,3503263
170,liberado,31,112827,3497642
259,alocado,31,114815,3559280
174,liberado,31,113366,3514347
260,alocado,32,111556,3569814
27,liberado,32,111369,3563833
261,alocado,33,109561,3615515
262,alocado,33,109460,3612210
263,alocado,33,108387,3576794
264,alocado,33,107539,3548789
265,alocado,33,107182,3537029
266,alocado,33,106710,3521437
13,liberado,33,105905,3494884
18,liberado,34,102945,3500130
