Id, Situacao, qntElementos, Média, espaçoVazio 
189,alocado,12,384494,4613939
190,alocado,12,384198,4610385
103,liberado,12,380286,4563440
74,liberado,13,352574,4583471
191,alocado,14,329625,4614761
192,alocado,14,327160,4580248
193,alocado,14,324453,4542352
18,liberado,14,322871,4520201
194,alocado,15,304733,4571007
195,alocado,15,300517,4507766
196,alocado,15,299985,4499775
197,alocado,15,296659,4449894
198,alocado,15,296553,4448298
199,alocado,15,292353,4385305
200,alocado,15,289492,4342393
201,alocado,15,288964,4334465
202,alocado,15,287407,4311114
155,liberado,15,285110,4276660
203,alocado,16,269698,4315173
204,alocado,16,266588,4265409
205,alocado,16,266351,4261625
161,liberado,16,265721,4251545
206,alocado,17,252090,4285537
207,alocado,17,248708,4228051
208,alocado,17,247183,4202123
209,alocado,17,244154,4150632
210,alocado,17,242377,4120419
211,alocado,17,239554,4072427
212,alocado,17,238110,4047870
148,liberado,17,237126,4031147
213,alocado,18,226735,4081240
214,alocado,18,225806,4064521
215,alocado,18,224861,4047501
192,liberado,18,222416,4003504
216,alocado,19,212705,4041400
217,alocado,19,212425,4036090
218,alocado,19,211421,4017008
219,alocado,19,208516,3961805
43,liberado,19,206388,3921378
50,liberado,20,197467,3949348
195,liberado,20,198329,3966582
220,alocado,21,189265,3974573
221,alocado,21,187008,3927178
222,alocado,21,184303,3870373
88,liberado,21,181771,3817192
223,alocado,22,174956,3849041
224,alocado,22,174277,3834105
225,alocado,22,171706,3777542
226,alocado,22,169792,3735444
227,alocado,22,169136,3721005
228,alocado,22,167294,3680481
66,liberado,22,164446,3617815
168,liberado,23,157723,3627642
229,alocado,23,158148,3637426
230,alocado,23,158140,3637237
231,alocado,23,155376,3573662
183,liberado,23,154260,3547988
232,alocado,24,149930,3598343
233,alocado,24,148035,3552847
234,alocado,24,146297,3511144
162,liberado,24,146142,3507421
235,alocado,24,147948,3550758
59,liberado,24,146313,3511514
213,liberado,25,141699,3542476
236,alocado,26,136892,3559195
237,alocado,26,135161,3514197
238,alocado,26,133493,3470820
208,liberado,26,131346,3415015
239,alocado,27,128389,3466506
240,alocado,27,126549,3416836
209,liberado,27,125311,3383419
241,alocado,28,121915,3413632
242,alocado,28,121666,3406663
